﻿OPTION_LIABILITY_INSURANCE_0_99K,0 and < 0.1M
OPTION_LIABILITY_INSURANCE_100K,≥ 0.1M and < 0.2M
OPTION_LIABILITY_INSURANCE_200K,≥ 0.2M and < 0.3M
OPTION_LIABILITY_INSURANCE_300K,≥ 0.3M and < 0.4M
OPTION_LIABILITY_INSURANCE_400K,≥ 0.4M and < 0.5M
OPTION_LIABILITY_INSURANCE_500K_TO_900K,≥ 0.5M and < 1M
OPTION_LIABILITY_INSURANCE_1M,≥ 1M and < 2M
OPTION_LIABILITY_INSURANCE_2M,≥ 2M and < 3M
OPTION_LIABILITY_INSURANCE_3M,≥ 3M and < 4M
OPTION_LIABILITY_INSURANCE_4M,≥ 4M and < 5M
OPTION_LIABILITY_INSURANCE_5M,≥ 5M and < 10M
OPTION_LIABILITY_INSURANCE_10M,10M +
