supplierID,category,subCategory,certifier,expiryDate,documents
11ea7a2125629ab0b58ad31254f2d1a9,MBE,ABE,NMSDC,,"id:11ea7a3362c415c0b58ad31254f2d1a9,name:document (3).pdf"
11ea8065ac1ebfd0ad4a91b015cdaf9c,MBE,BLK,NMSDC,,"id:11ea80832f7e7830ad4a91b015cdaf9c,name:1040_example.jpg"
11ea814158e87c7093285f37298da91f,MBE,BLK,,,
11ea814158e87c7093285f37298da91f,WBE,,,,
11ea814158e87c7093285f37298da91f,PWD,,,,
11ea814158e87c7093285f37298da91f,LGBTQ+,,,,
11ea9f0c661493f0bf5f115a5f59ee32,MBE,ABE,NMSDC,,"id:11ea9f1ec253d290bf5f115a5f59ee32,name:SampleDOCFile_1000kb.doc"
11ea9f0c661493f0bf5f115a5f59ee32,WBE,,WBENC,,"id:11ea9f1ec256dfd0bf5f115a5f59ee32,name:SampleXLSFile_1736kb.xls"
11ead67d83eb3f709a387dcfb50699c7,LGBTQ+,,,,
11ead67d83eb3f709a387dcfb50699c7,MBE,,,,
11ead67d83eb3f709a387dcfb50699c7,PWD,,,,"id:11ecc575a878fe70b67b3bf14d60380b,name:Untitled 1.png"
11eae9f478938fd090503fc94338c574,OTH,,,,
11ebd3d354cca4f0a66187109756eab1,PWD,,,,
11ebd3d354cca4f0a66187109756eab1,LGBTQ+,,,,
11ebd3d354cca4f0a66187109756eab1,MBE,,NMSDC,,"id:11ebd3d721637e50a66187109756eab1,name:fb2aa49de10f07738da821bd68cc02cd.jpg"
11ebd3d354cca4f0a66187109756eab1,VBE,,,,
11ebd3d354cca4f0a66187109756eab1,WBE,,,,
11ebd65cb3a1e90087c2d9411704f34b,PWD,,,,"id:11ebd6a21c28bd10b8cecd0f00314900,name:download (1).png|id:11ebd6a21c2c1870b8cecd0f00314900,name:bulk.jpg"
11ebd65cb3a1e90087c2d9411704f34b,LGBTQ+,,,,
11ebd65cb3a1e90087c2d9411704f34b,MBE,,,,
