supplierId,partnerId,identifierId
11e9a42b951cc37083afafc0246e9aa8,63929f71945012002a1904a1,US132870832L
11e9a47df08becc0bb4a0b7ad59317d6,63929f71945012002a1904a1,US149093449L
11e9a47ef984df20bb4a0b7ad59317d6,63929f71945012002a1904a1,US880215232
11e9a47f18058e90bb4a0b7ad59317d6,63929f71945012002a1904a1,US312180269L
11e9a47f316400b0bb4a0b7ad59317d6,63929f71945012002a1904a1,US770353939
11e9a47f6f101e80bb4a0b7ad59317d6,63929f71945012002a1904a1,US611800317
11e9a47fca1beb60bb4a0b7ad59317d6,63929f71945012002a1904a1,US127189234L
11e9a47fe330f870bb4a0b7ad59317d6,63929f71945012002a1904a1,US561546236
11e9a47ff8e91ee0bb4a0b7ad59317d6,63929f71945012002a1904a1,US117655947GN
11e9a4801163e7c0bb4a0b7ad59317d6,63929f71945012002a1904a1,US752899198
11e9a48027c4f860bb4a0b7ad59317d6,63929f71945012002a1904a1,US123234204L
11e9a48091067740bb4a0b7ad59317d6,63929f71945012002a1904a1,US301433693L
11e9a480a91781d0bb4a0b7ad59317d6,63929f71945012002a1904a1,US202096338
11e9a483b74dc8b0bb4a0b7ad59317d6,63929f71945012002a1904a1,US310482746L
11e9a483fcaf03b0bb4a0b7ad59317d6,63929f71945012002a1904a1,US331537877L
11e9b54c7898e9e09d45615e97033be8,63929f71945012002a1904a1,FI01120389
11e9d4c5755a51909639f9d99f621641,63929f71945012002a1904a1,US125803884L
11e9d4c62ee540209639f9d99f621641,63929f71945012002a1904a1,US120132998L
11e9d4c662cfcef09639f9d99f621641,63929f71945012002a1904a1,US127842164L
11e9d4c7aea3c6a09639f9d99f621641,63929f71945012002a1904a1,US131022768L
11e9d63ed9f80fa09639f9d99f621641,63929f71945012002a1904a1,US348793454L
11e9d63ef1c385b09639f9d99f621641,63929f71945012002a1904a1,US126071567L
11e9d63f50fccfa09639f9d99f621641,63929f71945012002a1904a1,US166423959L
11e9d63f71f13e309639f9d99f621641,63929f71945012002a1904a1,US326923388L
11e9d63f840d79309639f9d99f621641,63929f71945012002a1904a1,US127624783L
11e9d63fad1d67e09639f9d99f621641,63929f71945012002a1904a1,US132515970L
11e9d63fc06cf2c09639f9d99f621641,63929f71945012002a1904a1,US266084201L
11e9d640651114a09639f9d99f621641,63929f71945012002a1904a1,US380819050
11e9d64080dba4c09639f9d99f621641,63929f71945012002a1904a1,US135346338L
11e9d640e60cf2909639f9d99f621641,63929f71945012002a1904a1,US228219668L
11e9d640fd1603009639f9d99f621641,63929f71945012002a1904a1,US314784602L
11e9d641100b87009639f9d99f621641,63929f71945012002a1904a1,US149108288L
11e9d64145f456d09639f9d99f621641,63929f71945012002a1904a1,US256188053L
11e9d8b453ee7480a73fd58fca7b78d7,63929f71945012002a1904a1,US941655526
11e9da181b2153b095f111712217d6a7,63929f71945012002a1904a1,US127647269L
11e9da1983c05b9095f111712217d6a7,63929f71945012002a1904a1,US293442371L
11e9da19b5383cb095f111712217d6a7,63929f71945012002a1904a1,US149204549L
11e9da1a22b6a1f095f111712217d6a7,63929f71945012002a1904a1,US770558353
11e9da1aef58311095f111712217d6a7,63929f71945012002a1904a1,US464254555
11e9da1bca6fd69095f111712217d6a7,63929f71945012002a1904a1,US264400325
11e9da1c69bc052095f111712217d6a7,63929f71945012002a1904a1,US209517231L
11e9da1cd2611cf095f111712217d6a7,63929f71945012002a1904a1,US043512883
11e9da1ce6a2d00095f111712217d6a7,63929f71945012002a1904a1,US166466502L
