supplierID,category,subCategory,certifier,expiryDate,documents
11e9a42b951cc37083afafc0246e9aa8,MBE,ABE,NMSDC,MM/DD/YYYY,"id: aaa, name: bbb | id:xxx name: yyy"
11e9a42b951cc37083afafc0246e9aa8,WBE,,WBENC,,
11e9da1d6e710c4095f111712217d6a7,WBE,,,,
11e9da1eecd7caf095f111712217d6a7,MBE,ABE,NMSDC,,
11e9da1eecd7caf095f111712217d6a7,SBE,OTH,,,
11e9da1f2c181d5095f111712217d6a7,MBE,ABE,,,
11e9da1f2c181d5095f111712217d6a7,HZ,,,,
11e9e606e39b2a6088c1fdb9a75875f2,WBE,,WBENC,,
11e9ec62c303ff40848321d9ad578b24,MBE,NA,NMSDC,,
11e9ec62c303ff40848321d9ad578b24,QUESTION_DIVERSITY_CERTIFICATION_GOVERNMENT,,,,
11e9ef8e2bce5dd084f2ab9dba5ba2e8,MBE,HIS,NMSDC,,
11e9ef8e74faaa9084f2ab9dba5ba2e8,WBE,,,,
11e9ef8e74faaa9084f2ab9dba5ba2e8,QUESTION_DIVERSITY_DIVERSE_OWNED,,,,
11e9ef8ee00b6b3084f2ab9dba5ba2e8,WBE,,WBENC,,
11e9ef8ee1a3223084f2ab9dba5ba2e8,QUESTION_DIVERSITY_DIVERSE_OWNED,,,,
11e9f3a2caebe6e083373d7efef99c15,MBE,ABE,NMSDC,,
11e9f66decbeb4a0a6a1cb2c17db1da0,MBE,HIS,NMSDC,,
11e9f66decbeb4a0a6a1cb2c17db1da0,WBE,,WBENC,,
11e9f72f21ba93b0a6a1cb2c17db1da0,SBE,OTH,,,
11e9f72f54cc4eb0a6a1cb2c17db1da0,WBE,,,,
11e9f72f6d2d4e00a6a1cb2c17db1da0,SBE,OTH,,,
11e9f72f74872bd0a6a1cb2c17db1da0,WBE,,WBENC,,
11e9f72f74872bd0a6a1cb2c17db1da0,QUESTION_DIVERSITY_DIVERSE_OWNED,,,,
11e9ff0972632700860569e52ddff250,MBE,BLK,NMSDC,,
11e9a42b951cc37083afafc0246e9aa8,WBE,,,,
11e9a42b951cc37083afafc0246e9aa8,MBE,,,,
11e9d63dbad549409639f9d99f621641,MBE,,,,
11e9d63e8265b2109639f9d99f621641,MBE,,,,"id:11ecac857227edd0bb52c72f7621ba40,name:MID STATES CERTIFICATE WWT 2023.pdf"
11e9d63f840d79309639f9d99f621641,WBE,,,,"id:11ecca2a8be39db095ab03ae477fc196,name:WBE_certificate_2022_Drury copy.pdf"
11e9da1e1399042095f111712217d6a7,MBE,,,,"id:11ec6f3bf8976df08e7db9142d073f01,name:Zones MBE  NMSDC Certificate 2021 - 2022.pdf"
11e9da1f3b43c81095f111712217d6a7,MBE,,,,"id:11ec8ea1984af1d0865b5bd734baea41,name:Encode - Lancesoft MBE Certificate expires 2022.05.31.pdf"
11e9e6072a6914c088c1fdb9a75875f2,WBE,,,,"id:11eca955fe4594d0bb52c72f7621ba40,name:Lexair Electronics WBENC Certificate 247795 through 06-30-2022.pdf|id:11eca955fe768fe0bb52c72f7621ba40,name:Lexair Electronics WOSB Certification valid through June 30 2022.pdf"
11e9e6074ed7b5f088c1fdb9a75875f2,MBE,,,,
11e9ec62c303ff40848321d9ad578b24,MBE,,,,"id:11ecd53cebcb8360b0ca89326f5fd1c3,name:2022 CVMSDC Certificate_Alliance of Professionals & Consultants, Inc..pdf"
11e9ef8e1552c05084f2ab9dba5ba2e8,LGBTQ+,,,,
11e9ef8e1552c05084f2ab9dba5ba2e8,MBE,,,,
11e9ef8e1552c05084f2ab9dba5ba2e8,MBE,,,,
11e9ef8e4523330084f2ab9dba5ba2e8,LGBTQ+,,,,"id:11ec25f5e657ed20b637298fd044e3a1,name:NGLCC® LGBTBE® Certificate  Pivital, Inc..pdf"
11e9ef8e5a49c7d084f2ab9dba5ba2e8,MBE,,,,"id:11ebfac325af3c20a30c75aa24f4dcbb,name:NYC MBE CertificationAA.jpg|id:11ebfac325c0c850a30c75aa24f4dcbb,name:NY NJ Minority Supplier Development Council.Certificate 2021 Switzer Group Inc..pdf"
11e9ef8e9561581084f2ab9dba5ba2e8,MBE,,,,"id:11ebf472033276a0be30a9bc040e141d, name:Group MSDC Certificate 2021-22.pdf"
11e9ef8eda09071084f2ab9dba5ba2e8,LGBTQ+,,,,
11e9ef8edc006a4084f2ab9dba5ba2e8,MBE,,,,"id:11ec51f5de850660b58b2586d32420aa,name:State of IL BEP 2021_2022 Certification.pdf|id:11ec51f5de964470b58b2586d32420aa,name:ILUCP DBE 2021_2022.pdf"
11e9f127c0ceaee084f2ab9dba5ba2e8,MBE,,,,"id:11ebe35ce7a664308c872374e5ff3065,name:cert.jpg"
11e9f533a4462b3082cca37ca04fd496,PWD,,,,"id:11ecd61763a03b80b0ca89326f5fd1c3,name:E. Maygoo Technologies, LLC - DBE Approval Letter.pdf"
