override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,dunsNumber,BVD,DUNS,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,1 HOMES PTY LTD,Australia,1 HOMES PTY LTD,,,89641233409,26 Cook Street,,,Port Melbourne,Victoria,3207,,,,AU641233409,,,,,https://symmetrichomes.com.au/,,,,112389
,2 Percy Place,Australia,2 Percy Place,,,80828651239,Office G10 25-29 Alma Rd,,,St Kilda,Victoria,3182,,,,AU80828651239,,,,,https://ccigcapital.com.au/,,,,112345
,2TOOLS PTY LTD,Australia,2TOOLS PTY LTD,,,35641249836,"UNIT 1, 53 MALVERN STREET",,,BAYSWATER,Victoria,3153,,,,AU641249836,,,,,https://2tools.com.au/,,,,111721
,3 TECH ELECTRICAL,Australia,3 TECH ELECTRICAL,,,48813611895,1 HORTON STREET,,,YAGOONA,New South Wales,2199,,,,AU48813611895,,,,,,,,,110758
,33 CREATIVE PTY LIMITED,Australia,33 CREATIVE PTY LIMITED,,,19602191926,"SUITE 26, 20-28 MADDOX ST",,,ALEXANDRIA,New South Wales,2015,,,,AU602191926,,,,,https://33creative.com.au/,,,,113146
,360 WATER PTY LIMITED,Australia,360 WATER PTY LIMITED,,,44162960698,,,,REDHEAD,New South Wales,2290,,,,AU162960698,,,,,https://360water.com.au/,,,,109988
,37 SOUTH PTY LTD,Australia,37South Pty Ltd,,,49129827612,92 ROWENA STREET,,,EAST BENDIGO,Victoria,3550,,,,AU129827612,,,,,37s.com.au,,,,107314
,3D SAFETY PTY LTD,Australia,3D SAFETY SERVICES PTY LTD,,,96003225125,,,,BOTANY,New South Wales,1455,,,,AU003225125,,,,,3dsafety.com.au,,,,110783
,3M AUSTRALIA PTY LTD,Australia,3M AUSTRALIA PTY LTD,,,90000100096,"BUILDING A, 1 RIVETT ROAD",,,NORTH RYDE,New South Wales,2113,,,,AU000100096,,,,,3m.com.au,,,,109175
,484 CITY ROAD DEVELOPMENT PTY LTD,Australia,484 CITY ROAD DEVELOPMENT PTY LTD,,,34603362438,17 Batman St,,,West Melbourne,Victoria,3003,,,,AU603362438,,,,,https://sammagroup.com.au/spec-property/,,,,111889
,600 MACHINE TOOLS PTY LTD,Australia,COLCHESTER MACHINE TOOL SOLUTIONS PTY LTD,,,60000161106,,,,SILVERWATER DC,New South Wales,1811,,,,AU000161106,,,,,600machinetools.com.au,,,,111628
,8 SQUARED ARCHITECTS PTY LTD,Australia,8 SQUARED ARCHITECTS PTY LTD,,,26159310693,186 MEGALONG STREET,,,LEURA,New South Wales,2780,,,,AU159310693,,,,,8squared.com.au,,,,111521
,A & A Property Developers Pty Ltd,Australia,A & A Property Developers Pty Ltd,,,37153624910,49 Allison Road,,,Mont Albert North,Victoria,3129,,,,AU153624910,,,,,https://www.aandapropertydevelopers.com.au/,,,,112007
,A & A WILDING PTY LTD,Australia,A. & A. WILDING PTY. LIMITED,,,31051503738,,,,BATHURST,New South Wales,2795,,,,AU051503738,,,,,http://www.metalandbathurst.com.au/,,,,110847
,A C WHALAN & CO PTY LIMITED,Australia,A.C. WHALAN & CO. PTY. LIMITED,,,90003499849,1215 CASTLEREAGH HIGHWAY,,,LIDSDALE,New South Wales,2790,,,,AU003499849,,,,,acwhalan.com.au,,,,107625
,A G COOMBS SERVICING PTY LIMITED,Australia,A G COOMBS SERVICING PTY LIMITED,,,57053933056,2/435 Williamstown Road,,,Port Melbourne,Victoria,3207,,,,AU053933056,,,,,https://www.agcoombs.com.au/,,,,112205
,A NOBLE & SON PTY LTD,Australia,A. NOBLE & SON LIMITED,,,18007513395,24-30 Kaurna Ave,,,EDINBURGH,South Australia,5111,,,,AU007513395,,,,,https://nobles.com.au/,,,,100069
,A.P.C.S (NESS SECURITY PRODUCTS PTY,Australia,NESS CORPORATION PTY LIMITED,,,28069984372,4 / 167 PROSPECT HIGHWAY,,,SEVEN HILLS,New South Wales,1730,,,,AU069984372,,,,,https://ness.com.au/,,,,105238
,A.S.A.P. ENGINEERING SUPPLIES PTY.,Australia,A.S.A.P. ENGINEERING SUPPLIES PTY. LTD.,,,83006945062,204 Mason Street,,,Newport,Victoria,3015,,,,AU006945062,,,,,,,,,112034
,A-AA BLASTMASTERS,Australia,SANDBLASTING INTERNATIONAL PTY LTD,,,14092303378,70 ORDISH ROAD,,,DANDENONG,Victoria,3175,,,,AU092303378,,,,,https://blastmasters.com.au/,,,,110432
,AAA Concrete and Landscaping,Australia,AAA Concrete and Landscaping,,,37620543821,119 Moor park drive,,,Craigieburn,Victoria,3064,,,,AU37620543821,,,,,,,,,111894
,AAF AUSTRALIA PTY LTD,Australia,AAF AUSTRALIA PTY LTD,,,98608003194,,,,SMITHFIELD,New South Wales,2164,,,,AU608003194,,,,,https://aafaustralia.com.au/,,,,110433
,AARBRO STEEL TRADING PTY LTD,Australia,AARBRO STEEL TRADING PTY LTD,,,33603435712,,,,HARKAWAY,Victoria,3806,,,,AU603435712,,,,,aarbrosteeltrading.com.au,,,,108935
,AB AXIS COMPANY LTD,Australia,AB Axis Company Limited,,,13275002735,6-10 Hood Street,,,WELLSFORD,Northern Territory,0940,,,,AU13275002735,,,,,alloybearings.com,,,,106237
,ABB AUSTRALIA PTY LIMITED,Australia,ABB AUSTRALIA PTY LIMITED,,,68003337611,LOCKED BAG 7315,,,LIVERPOOL,New South Wales,1871,,,,AU003337611,,,,,new.abb.com,,,,101487
,ABLE ON SITE SERVICES,Australia,I & P CONTRACTING SERVICES PTY. LTD. & THORPDALE CONTRACTING SERVICES PTY LTD,,,55230739280,,,,THORPDALE,Victoria,3835,,,,AU55230739280,,,,,https://www.facebook.com/p/Able-On-Site-Services-100045342086014/,,,,100514
,ABN GROUP VIC PTY LTD,Australia,ABN GROUP (VIC) PTY LTD,,,82130382188,81 LORIMER ST,,,DOCKLANDS,Victoria,3008,,,,AU130382188,,,,,abngroup.com.au,,,,107380
,ABSAFE PTY LTD,Australia,ABSAFE PTY LTD,,,26104116887,106 GIPPS ST,,,COLLINGWOOD,Victoria,3066,,,,AU104116887,,,,,absafe.com.au,,,,104449
,AC NIELSEN PTY LTD,Australia,THE NIELSEN COMPANY (AUSTRALIA) PTY LTD,,,35008417874,11 TALAVERA ROAD,,,MACQUARIE PARK,New South Wales,2113,,,,AU008417874,,,,,https://global.nielsen.com/global/en/,,,,103715
,ACC Corporate,Australia,ACC Corporate,,,66057912259, 4 Roy Street,,,Welshpool,Western Australia,6106,,,,AU057912259,,,,,https://www.acc-corporate.com/,,,,112587
,Accelerer,Australia,Accelerer,,,75126753320,"Suite 3, 596 North Road",,,Ormond,Victoria,3204,,,,AU126753320,,,,,https://www.accelerer.com.au/,,,,112515
